name_vi,unit,calo_per_unit,protein_g,carb_g,fat_g,category,source
Bánh mì sandwich,2 lát,150,5,28,2,Ngũ cốc/Tinh bột,Viện Dinh dưỡng Quốc gia
Bánh mì nguyên cám,2 lát,140,6,24,2,Ngũ cốc/Tinh bột,Viện Dinh dưỡng Quốc gia
Khoai môn luộc,100g,110,1.5,26,0.2,Ngũ cốc/Tinh bột,Viện Dinh dưỡng Quốc gia
Sắn luộc,100g,160,1.4,38,0.3,Ngũ cốc/Tinh bột,Viện Dinh dưỡng Quốc gia
Đậu xanh nấu,100g,150,7,27,0.5,Ngũ cốc/Tinh bột,Viện Dinh dưỡng Quốc gia
Đậu đen nấu,100g,140,8,25,0.5,Ngũ cốc/Tinh bột,Viện Dinh dưỡng Quốc gia
Đậu phộng luộc,100g,180,8,15,11,Ngũ cốc/Tinh bột,Viện Dinh dưỡng Quốc gia
Đậu hũ chay xào rau,1 phần,180,10,15,9,Món chay,Viện Dinh dưỡng Quốc gia
Chả chay,100g,150,10,12,7,Món chay,Viện Dinh dưỡng Quốc gia
Cơm chay thập cẩm,1 phần,450,12,70,14,Món chay,Viện Dinh dưỡng Quốc gia
Bún chay,1 tô,350,10,60,8,Món chay,Viện Dinh dưỡng Quốc gia
Phở chay,1 tô,380,10,65,8,Món chay,Viện Dinh dưỡng Quốc gia
Pizza,1 miếng,285,12,36,10,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Hamburger,1 cái,350,17,35,15,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Gà rán,1 miếng,320,20,15,20,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Khoai tây chiên (fastfood),1 phần vừa,340,4,44,16,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Hotdog,1 cái,290,10,25,17,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Mì Ý sốt bò băm,1 phần,450,20,55,17,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Mì Ý sốt kem,1 phần,500,15,55,25,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Sushi cuộn,6 miếng,280,10,45,6,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Sashimi cá hồi,100g,180,20,0,11,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Gyoza,5 cái,220,8,25,10,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Kimbap,1 phần,320,10,50,9,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Tokbokki,1 phần,350,8,60,9,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
Cơm cà ri Nhật,1 phần,550,18,70,22,Đồ ăn nhanh,Viện Dinh dưỡng Quốc gia
